dt,fplatformname,fuid,predict
2018-07-02,云南,20521256,0.0
2018-07-02,云南,12290411,0.0
2018-07-02,云南,18154830,0.0
2018-07-02,云南,17890906,0.0
2018-07-02,云南,20410375,0.0
2018-07-02,云南,4534826,0.0
2018-07-02,云南,13132964,0.0
2018-07-02,云南,4403179,0.0
2018-07-02,云南,6329171,0.0
2018-07-02,云南,5774994,0.0
2018-07-02,云南,21072870,0.0
2018-07-02,云南,20385937,0.0
2018-07-02,云南,19614075,0.0
2018-07-02,云南,11107248,0.0
2018-07-02,云南,7915762,0.0
2018-07-02,云南,7426693,1.0
2018-07-02,云南,4475067,0.0
2018-07-02,云南,20743672,0.0
2018-07-02,云南,19181139,0.0
2018-07-02,云南,6828987,0.0
2018-07-02,云南,5016079,0.0
2018-07-02,云南,21127357,0.0
2018-07-02,云南,21044864,0.0
2018-07-02,云南,21009476,0.0
2018-07-02,云南,20017155,0.0
2018-07-02,云南,20806531,0.0
2018-07-02,云南,11691993,0.0
2018-07-02,云南,19249444,1.0
2018-07-02,云南,21070553,0.0
2018-07-02,云南,17980637,0.0
2018-07-02,云南,21142999,0.0
2018-07-02,云南,7863797,0.0
2018-07-02,云南,21143653,1.0
2018-07-02,云南,19087638,0.0
2018-07-02,云南,21081965,1.0
2018-07-02,云南,7618877,0.0
2018-07-02,云南,17580570,0.0
2018-07-02,云南,17398697,0.0
2018-07-02,云南,5148860,0.0
2018-07-02,云南,20445447,0.0
2018-07-02,云南,17341535,0.0
2018-07-02,云南,21020239,0.0
2018-07-02,云南,17195321,0.0
2018-07-02,云南,20061459,0.0
2018-07-02,云南,18223018,0.0
2018-07-02,云南,8212175,0.0
2018-07-02,云南,7980245,0.0
2018-07-02,云南,20877098,0.0
2018-07-02,云南,20720109,0.0
2018-07-02,云南,20859240,0.0
2018-07-02,云南,20979761,1.0
2018-07-02,云南,20286166,0.0
2018-07-02,云南,19545391,0.0
2018-07-02,云南,4352123,0.0
2018-07-02,云南,20015238,0.0
2018-07-02,云南,10815376,0.0
2018-07-02,云南,4609560,0.0
2018-07-02,云南,20245221,0.0
2018-07-02,云南,20801468,0.0
2018-07-02,云南,7939274,0.0
2018-07-02,云南,18911251,0.0
2018-07-02,云南,21108293,1.0
2018-07-02,云南,4463871,0.0
2018-07-02,云南,8502972,0.0
2018-07-02,云南,10282189,0.0
2018-07-02,云南,21068556,0.0
2018-07-02,云南,5820430,0.0
2018-07-02,云南,21093360,0.0
2018-07-02,云南,19011206,1.0
2018-07-02,云南,7165881,0.0
2018-07-02,云南,17844518,0.0
2018-07-02,云南,7622132,0.0
