产品名称,产品类型,是否有竞品
郫都麻将,麻将类,无
王麻将,麻将类,有
黔南麻将,麻将类,没有
合集,麻将类,是
唐山麻将,麻将类,有
云南血战,麻将类,有
三打一,扑克类,否
霸州麻将,麻将类,
浙江棋牌,其他,有
云南麻将,麻将类,有
中江麻将,麻将类,
抚顺麻将,麻将类,是
二人麻将,麻将类,是
黄骅尖子顶,扑克类,有
葫芦岛麻将,麻将类,是
海盐麻将,麻将类,有
漳浦麻将,麻将类,有
吉安麻将,麻将类,是
叙永鬼麻将,麻将类,有
鞍山甲乙丙,扑克类,是
挖坑,金流类,有
永州麻将,麻将类,有
仪陇麻将,麻将类,无
兰州麻将/滑水麻将,麻将类,有
长春麻将,麻将类,有
捉娘娘,扑克类,
宜宾麻将,麻将类,有
大字牌,字牌类,有
麻将类:鹰城麻将--扑克类:斗地主--扑克类:双升--扑克类:灭三家--棋类:五子棋--棋类:象棋-,,
拉骆驼,扑克类,无
双流麻将,麻将类,无
都江堰麻将,麻将类,无
全名堂,字牌类,有
赣州麻将,麻将类,是
挖坑,扑克类,QQ游戏大厅
棋类:象棋，围棋，五子棋----麻将类:拳打脚踢，对对胡----扑克类:拍手，斗地主，510k---,,
拉火车,扑克类,
绥化麻将,麻将类,是
三打哈,扑克类,有
麻将类:周口麻将--扑克类:周口打枪--扑克类:斗地主--金流类:斗牛--:--:--:,,无
信不信,扑克类,无
麻将类:巩义麻将--扑克类:斗地主--金流类:斗牛--扑克类:扒鸡窝--:--:--:,,有
河津麻将,麻将类,同城游
十六张,麻将类,是
捉红五,扑克类,无
文山翻小鸡,麻将类,有
炸弹,扑克类,是
华坪麻将,麻将类,有
21点,扑克类,是
东至麻将,麻将类,是
亮六飞一,麻将类,同城游
捉黑枪/打楚/捉黑尖,扑克类,
捉老麻子,扑克类,是
争上游,扑克类,有
江安麻将,麻将类,有
宿迁麻将，掼蛋,其他,有
斗地主（四人）,扑克类,有
炸金花,金流类,有
推到胡,麻将类,是
鸡西麻将,麻将类,有
天九牌,其他,是
保定麻将,麻将类,
邯郸红中麻将,麻将类,有
昆明血战,麻将类,有
麻将类:洛阳杠次--扑克类:斗地主--金流类:斗牛--:--:--:--:,,有
三反五反,扑克类,无
麻将类:新郑麻将--扑克类:斗地主--金流类:斗牛--扑克类:扒鸡窝--:--:--:,,有
二七十,字牌类,没有
宝兴麻将,麻将类,无
拖拉机（升级）,扑克类,有
曲靖飞小鸡,麻将类,有
河池麻将,麻将类,有
邯郸麻将,麻将类,有
嘴胡,扑克类,是
上饶麻将,麻将类,是
哈尔滨麻将,麻将类,是
滑水麻将,麻将类,无
二七王,扑克类,是
推筒子,麻将类,
捉老麻子,扑克类,同城游
茂名拖拉机,扑克类,是
麻将，老三番,,有
嘉善红心,扑克类,有
拱猪,扑克类,是
斗地主,扑克类,有
高县麻将,麻将类,无
魔幻金花,金流类,否
搓牌,字牌类,有
秦皇岛麻将,麻将类,有
砀山麻将,麻将类,是
挖坑,扑克类,同城游
荣县麻将,麻将类,无
58王,扑克类,否
千分,扑克类,没有
高淳麻将,麻将类,有
昆明麻将,麻将类,有
芜湖麻将,麻将类,是
10点半,金流类,
云溪麻将,麻将类,有
牌九,其他,
麻将类:周口麻将--扑克类:周口打枪--扑克类:斗地主--金流类:斗牛--:--:--:,,
麻将,麻将类,
四副够级,扑克类,是
齐齐哈尔麻将,麻将类,是
扑克类:挤黑五--麻将类:河南麻将--扑克类:斗地主--扑克类:双升--金流类:斗牛--:--:,,
岳阳炒股,麻将类,有
广东麻将,麻将类,有
陕西三代,扑克类,同城游
宽甸掰哑巴力,扑克类,是
抽老鳖（捉乌龟）,扑克类,有
绍兴麻将,麻将类,有
江油麻将,麻将类,无
五小龙,金流类,无
东营麻将,麻将类,是
农安麻将,麻将类,有
湘潭麻将,麻将类,有
国际跳棋,其他,
憋7,扑克类,有
峨边麻将,麻将类,无
千分,扑克类,是
红中皮子杠,麻将类,是
锦江麻将,麻将类,无
麻将类:新密麻将--扑克类:斗地主--金流类:斗牛--扑克类:扒鸡窝--:--:--:,,有
衢州红五,扑克类,有
麻将类:郑州麻将--扑克类:斗地主--金流类:斗牛--扑克类:扒鸡窝--:--:--:,,
四人挖坑,扑克类,QQ游戏大厅
石家庄麻将,麻将类,有
河北麻将,麻将类,有
扑克类:拖拉机----:----:,,无
温州麻将,麻将类,有
泰兴麻将,麻将类,有
潍坊够级,扑克类,是
大庆麻将,麻将类,有
一口香麻将,麻将类,是
梦胡,字牌类,同城游
济南手把一,麻将类,是
丽江卡二条,麻将类,有
掼蛋,扑克类,有
青州保皇,扑克类,是
于都麻将,麻将类,是
鞍山麻将,麻将类,是
聊城麻将,麻将类,是
彭州麻将,麻将类,无
骨牌（牌九）,字牌类,有
盘锦麻将,麻将类,是
山东麻将,麻将类,是
干瞪眼,扑克类,是
诸暨包麻将,麻将类,有
红5，麻将,扑克类,有
